23:28:48 - 来自: main.py:1745 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000001C7FDA9DF70>'}
23:28:58 -         来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
23:28:58 -         来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
23:28:58 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
23:28:58 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
23:28:58 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
23:28:58 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:58 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001C7FF483550>'}
23:28:58 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(387, 29, 1121, 82), (385, 30, 1121, 82), (386, 30, 1121, 82), (387, 30, 1121, 82), (385, 31, 1121, 82), (386, 31, 1121, 82), (387, 31, 1121, 82), (385, 32, 1121, 82), (386, 32, 1121, 82), (387, 32, 1121, 82)]', 'distance': '25'}
23:28:58 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(387, 29, 1121, 82)])
23:28:58 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 27, 1121, 82), (435, 28, 1121, 82), (436, 28, 1121, 82), (437, 28, 1121, 82), (435, 29, 1121, 82), (436, 29, 1121, 82), (437, 29, 1121, 82), (435, 30, 1121, 82), (436, 30, 1121, 82), (437, 30, 1121, 82), (435, 31, 1121, 82), (436, 31, 1121, 82), (437, 31, 1121, 82), (436, 32, 1121, 82), (437, 32, 1121, 82)]', 'distance': '25'}
23:28:58 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(436, 27, 1121, 82)])
23:28:58 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(639, 29, 1121, 82), (638, 30, 1121, 82), (639, 30, 1121, 82), (639, 31, 1121, 82)]', 'distance': '25'}
23:28:58 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(639, 29, 1121, 82)])
23:28:58 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(589, 30, 1121, 82), (589, 31, 1121, 82), (590, 31, 1121, 82), (589, 32, 1121, 82)]', 'distance': '25'}
23:28:58 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(589, 30, 1121, 82)])
23:28:58 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(538, 29, 1121, 82), (539, 29, 1121, 82), (488, 30, 1121, 82), (537, 30, 1121, 82), (538, 30, 1121, 82), (539, 30, 1121, 82), (487, 31, 1121, 82), (488, 31, 1121, 82), (537, 31, 1121, 82), (538, 31, 1121, 82), (539, 31, 1121, 82), (487, 32, 1121, 82), (537, 32, 1121, 82), (538, 32, 1121, 82), (539, 32, 1121, 82), (537, 33, 1121, 82), (538, 33, 1121, 82)]', 'distance': '25'}
23:28:58 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(538, 29, 1121, 82), (488, 30, 1121, 82)])
23:28:58 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 2AJ977
23:28:59 -         来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
23:28:59 -         来自: main.py:659 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:662 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
23:28:59 -         来自: main.py:662 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:665 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
23:28:59 -         来自: main.py:665 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:668 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
23:28:59 -         来自: main.py:668 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:671 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
23:28:59 -         来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
23:28:59 -         来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
23:28:59 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
23:28:59 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
23:28:59 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
23:28:59 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:28:59 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001C7FF483550>'}
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(72, 29, 1121, 82), (71, 30, 1121, 82), (72, 30, 1121, 82), (73, 30, 1121, 82), (568, 30, 1121, 82), (733, 30, 1121, 82), (734, 30, 1121, 82), (735, 30, 1121, 82), (70, 31, 1121, 82), (71, 31, 1121, 82), (72, 31, 1121, 82), (73, 31, 1121, 82), (567, 31, 1121, 82), (568, 31, 1121, 82), (732, 31, 1121, 82), (733, 31, 1121, 82), (734, 31, 1121, 82), (735, 31, 1121, 82), (70, 32, 1121, 82), (71, 32, 1121, 82), (72, 32, 1121, 82), (567, 32, 1121, 82), (732, 32, 1121, 82), (733, 32, 1121, 82), (734, 32, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(72, 29, 1121, 82), (568, 30, 1121, 82), (733, 30, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(125, 27, 1121, 82), (126, 27, 1121, 82), (125, 28, 1121, 82), (126, 28, 1121, 82), (125, 29, 1121, 82), (126, 29, 1121, 82), (127, 29, 1121, 82), (125, 30, 1121, 82), (126, 30, 1121, 82), (127, 30, 1121, 82), (125, 31, 1121, 82), (126, 31, 1121, 82), (127, 31, 1121, 82), (125, 32, 1121, 82), (126, 32, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(125, 27, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(898, 29, 1121, 82), (897, 30, 1121, 82), (898, 30, 1121, 82), (899, 30, 1121, 82), (897, 31, 1121, 82), (898, 31, 1121, 82), (899, 31, 1121, 82), (898, 32, 1121, 82), (899, 32, 1121, 82), (898, 33, 1121, 82), (899, 33, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(898, 29, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(347, 29, 1121, 82), (346, 30, 1121, 82), (347, 30, 1121, 82), (347, 31, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(347, 29, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(402, 28, 1121, 82), (457, 28, 1121, 82), (402, 29, 1121, 82), (456, 29, 1121, 82), (457, 29, 1121, 82), (401, 30, 1121, 82), (402, 30, 1121, 82), (456, 30, 1121, 82), (457, 30, 1121, 82), (401, 31, 1121, 82), (402, 31, 1121, 82), (456, 31, 1121, 82), (457, 31, 1121, 82), (401, 32, 1121, 82), (402, 32, 1121, 82), (456, 32, 1121, 82), (457, 32, 1121, 82), (402, 33, 1121, 82), (457, 33, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(402, 28, 1121, 82), (457, 28, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(292, 31, 1121, 82), (293, 31, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(292, 31, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(237, 29, 1121, 82), (238, 29, 1121, 82), (182, 30, 1121, 82), (236, 30, 1121, 82), (237, 30, 1121, 82), (238, 30, 1121, 82), (844, 30, 1121, 82), (182, 31, 1121, 82), (183, 31, 1121, 82), (236, 31, 1121, 82), (237, 31, 1121, 82), (238, 31, 1121, 82), (844, 31, 1121, 82), (182, 32, 1121, 82), (236, 32, 1121, 82), (237, 32, 1121, 82), (238, 32, 1121, 82), (844, 32, 1121, 82), (236, 33, 1121, 82), (237, 33, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(237, 29, 1121, 82), (182, 30, 1121, 82), (844, 30, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(678, 28, 1121, 82), (679, 28, 1121, 82), (680, 28, 1121, 82), (623, 29, 1121, 82), (624, 29, 1121, 82), (677, 29, 1121, 82), (678, 29, 1121, 82), (679, 29, 1121, 82), (680, 29, 1121, 82), (678, 30, 1121, 82), (679, 30, 1121, 82), (680, 30, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(678, 28, 1121, 82), (623, 29, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(787, 29, 1121, 82), (788, 29, 1121, 82), (789, 29, 1121, 82), (786, 30, 1121, 82), (787, 30, 1121, 82), (788, 30, 1121, 82), (789, 30, 1121, 82), (786, 31, 1121, 82), (787, 31, 1121, 82), (788, 31, 1121, 82), (789, 31, 1121, 82), (786, 32, 1121, 82), (787, 32, 1121, 82), (788, 32, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(787, 29, 1121, 82)])
23:28:59 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(511, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (511, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (953, 31, 1121, 82), (954, 31, 1121, 82), (511, 32, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82)]', 'distance': '25'}
23:28:59 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(511, 30, 1121, 82), (953, 31, 1121, 82)])
23:28:59 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 222AQJTT977755433
23:28:59 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x000001C7FDA9DF70>', 'result': '在游戏中'}
